"Community",Occurrence Births,Resident Births,Low Birthweight,"Teen Births,
 < 20 years",Infant Deaths,Neonatal Deaths
STATE TOTAL,"82,673","81,582","5,711","5,395",377,288
Abington,1,214,18,9,4,4
Acton,2,247,10,1,1,1
Acushnet,0,102,6,9,1,0
Adams,1,93,--1,9,0,0
Agawam,0,285,13,9,2,1
Alford,1,3,0,0,0,0
Amesbury,0,194,14,12,0,0
Amherst,3,161,10,6,2,1
Andover,0,338,10,2,0,0
Aquinnah,1,5,0,0,0,0
Arlington,3,541,22,6,0,0
Ashburnham,0,49,--1,1,0,0
Ashby,0,34,--1,2,0,0
Ashfield,1,21,0,1,0,0
Ashland,1,244,24,5,3,2
Athol,0,132,--1,19,1,0
Attleboro,1210,621,44,47,1,1
Auburn,1,176,10,6,0,0
Avon,0,46,--1,3,0,0
Ayer,1,136,11,8,3,2
Barnstable,978,481,25,30,4,3
Barre,0,68,--1,2,0,0
Becket,0,16,--1,2,0,0
Bedford,0,168,14,0,1,1
Belchertown,2,171,11,5,0,0
Bellingham,2,220,7,7,1,1
Belmont,1,278,19,1,3,3
Berkley,0,75,--1,1,0,0
Berlin,0,31,--1,0,0,0
Bernardston,0,16,0,1,0,0
Beverly,2586,520,25,22,2,1
Billerica,3,514,23,18,4,4
Blackstone,0,104,--1,5,0,0
Blandford,0,8,0,1,0,0
Bolton,0,69,0,0,0,0
Boston,23363,8079,727,805,54,43
Bourne,0,247,13,9,3,3
Boxborough,0,61,--1,0,0,0
Boxford,0,73,--1,0,0,0
Boylston,0,41,--1,0,0,0
Braintree,1,417,22,10,0,0
Brewster,0,52,--1,1,1,1
Bridgewater,1,299,17,11,3,3
Brimfield,0,38,5,4,0,0
Brockton,2426,1559,154,219,9,6
Brookfield,0,25,5,4,0,0
Brookline,1,614,37,6,0,0
Buckland,0,14,0,1,0,0
Burlington,2,297,10,1,2,1
Cambridge,2157,1085,76,27,4,3
Canton,1,265,15,2,0,0
Carlisle,1,47,--1,0,0,0
Carver,0,123,6,8,1,1
Charlemont,0,15,0,1,0,0
Charlton,0,156,12,3,0,0
Chatham,0,38,--1,0,0,0
Chelmsford,2,443,31,12,3,2
Chelsea,1,682,54,91,3,2
Cheshire,0,39,--1,2,0,0
Chester,0,12,0,1,0,0
Chesterfield,0,15,--1,1,0,0
Chicopee,0,605,57,59,2,1
Chilmark,0,2,0,0,0,0
Clarksburg,0,9,0,0,0,0
Clinton,3,173,15,14,0,0
Cohasset,1,87,--1,1,0,0
Colrain,1,12,--1,0,0,0
Concord,1512,176,10,2,2,2
Conway,1,11,0,0,0,0
Cummington,0,4,--1,0,0,0
Dalton,0,57,--1,5,1,0
Danvers,0,235,13,6,3,2
Dartmouth,0,264,22,18,0,0
Dedham,0,301,21,3,2,2
Deerfield,1,43,--1,0,0,0
Dennis,1,115,8,9,0,0
Dighton,0,65,--1,1,0,0
Douglas,0,126,5,4,0,0
Dover,0,58,--1,0,0,0
Dracut,1,375,16,16,0,0
Dudley,0,128,14,8,1,0
Dunstable,0,45,0,1,0,0
Duxbury,0,189,13,4,0,0
East Bridgewater,0,155,17,2,2,2
East Brookfield,0,21,--1,1,0,0
East Longmeadow,0,154,7,6,0,0
Eastham,0,39,--1,1,1,0
Easthampton,1,169,16,12,0,0
Easton,0,266,12,3,0,0
Edgartown,0,40,--1,1,0,0
Egremont,0,6,0,0,0,0
Erving,0,18,--1,0,0,0
Essex,0,36,--1,1,0,0
Everett,0,495,30,20,3,3
Fairhaven,0,130,8,3,1,1
Fall River,1654,1187,112,154,12,10
Falmouth,653,286,20,20,0,0
Fitchburg,5,566,41,94,3,2
Florida,0,6,--1,1,0,0
Foxborough,1,230,15,3,3,3
Framingham,2471,991,60,45,5,4
Franklin,3,523,34,3,2,2
Freetown,0,85,--1,0,0,0
Gardner,561,224,10,31,2,2
Georgetown,0,103,--1,3,1,0
Gill,0,11,0,0,0,0
Gloucester,1,335,20,26,0,0
Goshen,0,6,0,0,0,0
Gosnold,0,1,0,0,0,0
Grafton,1,212,10,5,0,0
Granby,0,56,--1,3,0,0
Granville,0,19,0,0,0,0
Great Barrington,160,51,--1,2,0,0
Greenfield,498,204,19,22,0,0
Groton,1,156,18,0,0,0
Groveland,0,68,7,2,0,0
Hadley,2,45,5,1,2,2
Halifax,0,93,6,3,0,0
Hamilton,0,102,6,1,0,0
Hampden,0,39,--1,1,0,0
Hancock,0,6,0,1,0,0
Hanover,0,156,8,2,1,0
Hanson,1,128,7,9,0,0
