Community,Occurrence Births,Resident Births
State Total,"77,841","76,824"
Abington,0,212
Acton,1,207
Acushnet,0,92
Adams,0,89
Agawam,0,290
Alford,0,4
Amesbury,0,190
Amherst,6,166
Andover,0,292
Aquinnah,1,2
Arlington,4,567
Ashburnham,0,65
Ashby,0,33
Ashfield,0,10
Ashland,1,263
Athol,1,138
Attleboro,"1,076",622
Auburn,1,161
Avon,0,45
Ayer,1,110
Barnstable,"1,010",454
Barre,0,54
Becket,0,22
Bedford,0,105
Belchertown,1,164
Bellingham,1,204
Belmont,0,249
Berkley,1,78
Berlin,0,30
Bernardston,0,17
Beverly,"2,152",441
Billerica,2,477
Blackstone,1,94
Blandford,0,9
Bolton,0,61
Boston,"21,672","7,554"
Bourne,1,224
Boxborough,0,48
Boxford,0,78
Boylston,0,51
Braintree,0,374
Brewster,0,80
Bridgewater,0,252
Brimfield,0,27
Brockton,"2,342","1,541"
Brookfield,0,31
Brookline,3,613
Buckland,0,8
Burlington,0,257
Cambridge,"3,105","1,027"
Canton,1,237
Carlisle,1,23
Carver,0,120
Charlemont,0,6
Charlton,1,164
Chatham,0,28
Chelmsford,1,363
Chelsea,1,649
Cheshire,0,26
Chester,0,7
Chesterfield,0,7
Chicopee,0,608
Chilmark,0,6
Clarksburg,0,12
Clinton,1,216
Cohasset,0,80
Colrain,0,15
Concord,"1,170",108
Conway,0,18
Cummington,1,4
Dalton,0,54
Danvers,1,229
Dartmouth,2,245
Dedham,0,246
Deerfield,0,42
Dennis,1,123
Dighton,0,82
Douglas,0,119
Dover,1,46
Dracut,2,373
Dudley,0,121
Dunstable,0,34
Duxbury,1,127
East Bridgewater,1,160
East Brookfield,0,24
East Longmeadow,0,151
Eastham,0,35
Easthampton,3,157
Easton,0,205
Edgartown,0,44
Egremont,0,9
Erving,1,13
Essex,1,46
Everett,1,587
Fairhaven,0,167
Fall River,"1,648","1,196"
Falmouth,638,291
Fitchburg,0,572
Florida,0,4
Foxborough,0,163
Framingham,"2,019","1,005"
Franklin,1,427
Freetown,0,82
Gardner,565,236
Georgetown,0,88
Gill,0,17
Gloucester,0,272
Goshen,0,7
Gosnold,0,2
Grafton,3,261
Granby,0,55
Granville,0,16
Great Barrington,165,59
Greenfield,462,194
Groton,1,88
Groveland,0,63
