Community,Occurrence Births,Resident Births,Low Birthweight3,Teen Births 15-19 yr,Infant Deaths4,Neonatal Deaths5,Fetal Deaths6
STATE TOTAL,"73,275","72,835","5,650","3,907",319,238,332
ABINGTON,0,194,12,--7,2,2,--7
ACTON,1,179,12,--7,1,1,0
ACUSHNET,0,82,--7,5,0,0,--7
ADAMS,0,87,--7,5,0,0,0
AGAWAM,0,274,18,7,1,1,--7
ALFORD,0,1,0,0,0,0,0
AMESBURY,0,205,7,8,1,1,0
AMHERST,5,156,7,--7,0,0,--7
ANDOVER,1,230,11,6,2,1,--7
ARLINGTON,6,617,44,--7,4,3,--7
ASHBURNHAM,1,56,--7,--7,0,0,0
ASHBY,1,19,5,0,1,1,0
ASHFIELD,0,9,0,0,0,0,0
ASHLAND,0,243,22,--7,0,0,0
ATHOL,0,132,6,12,1,0,0
ATTLEBORO,912,524,33,29,3,2,--7
AUBURN,0,160,10,9,0,0,--7
AVON,0,43,6,-7,0,0,--7
AYER,0,109,9,--7,3,3,0
BARNSTABLE,865,403,25,24,3,2,--7
BARRE,0,45,--7,--7,1,1,0
BECKET,1,23,--7,--7,2,2,0
BEDFORD,0,121,15,--7,0,0,0
BELCHERTOWN,3,147,14,--7,1,1,0
BELLINGHAM,1,187,11,--7,0,0,0
BELMONT,1,294,16,0,0,0,--7
BERKLEY,0,65,6,--7,0,0,0
BERLIN,0,28,--7,0,0,0,0
BERNARDSTON,0,11,--7,0,0,0,--7
BEVERLY,"2,134",397,21,--7,0,0,--7
BILLERICA,0,463,29,7,0,0,--7
BLACKSTONE,0,102,8,7,0,0,0
BLANDFORD,0,6,0,--7,0,0,0
BOLTON,0,40,--7,--7,0,0,0
BOSTON,"20,626","7,815",735,503,29,26,41
BOURNE,0,169,--7,11,1,1,0
BOXBOROUGH,0,38,--7,--7,0,0,0
BOXFORD,0,42,11,0,0,0,0
BOYLSTON,0,31,--7,--7,0,0,0
BRAINTREE,0,373,21,--7,2,2,--7
BREWSTER,0,65,--7,5,0,0,0
