Community,Occurrence Births,Resident Births,"Low Birthweight (Less than 2,500 grams (5.5 lbs.)","Preterm
 (<37 weeks gestation)
",Teen Births (15-19 years)
STATE TOTAL,71988,71484,5321,6001,2140
Abington,0,190,12,14,--
Acton,0,150,9,12,0
Acushnet,1,88,5,13,--
Adams,0,86,8,11,--
Agawam,1,258,21,28,--
Alford,0,3,0,0,0
Amesbury,2,151,12,20,--
Amherst,4,155,11,11,--
Andover,2,254,21,20,--
Arlington,5,585,33,47,--
Ashburnham,0,39,--,--,5
Ashby,0,25,--,--,--
Ashfield,1,9,--,--,0
Ashland,2,223,6,9,--
Athol,0,113,10,11,6
Attleboro,666,496,37,40,9
Auburn,1,135,8,16,0
Avon,0,50,--,--,--
Ayer,0,89,8,6,--
Barnstable,792,380,30,33,11
Barre,0,48,--,--,--
Becket,0,8,--,--,--
Bedford,3,131,7,11,--
Belchertown,0,126,6,5,--
Bellingham,2,176,13,16,--
Belmont,2,262,17,22,0
Berkley,1,56,--,--,--
Berlin,0,24,--,--,0
Bernardston,0,15,0,0,0
Beverly,2328,413,26,36,5
Billerica,1,439,34,32,5
Blackstone,3,95,7,8,5
Blandford,0,8,0,0,0
Bolton,0,45,5,5,0
Boston,20275,7757,667,736,247
Bourne,0,116,--,6,--
Boxborough,0,42,--,3,0
Boxford,1,48,--,5,0
Boylston,0,33,--,--,0
Braintree,1,408,33,33,--
Brewster,0,49,--,--,--
Bridgewater,0,232,13,20,--
Brimfield,0,26,0,0,--
Brockton,2130,1591,153,156,77
Brookfield,0,32,--,--,--
Brookline,1,609,30,39,--
Buckland,0,10,--,--,0
Burlington,1,306,26,28,--
Cambridge,3871,1247,87,100,--
Canton,0,253,19,26,0
Carlisle,0,30,--,--,0
Carver,0,113,12,11,--
Charlemont,0,11,0,0,--
Charlton,1,121,6,--,--
Chatham,0,25,0,--,0
Chelmsford,0,345,20,20,--
Chelsea,2,660,50,49,41
Cheshire,0,30,--,--,--
Chester,2,7,0,0,0
Chesterfield,0,8,0,0,0
Chicopee,3,566,56,58,30
Chilmark,0,10,0,0,0
Clarksburg,0,14,--,--,0
Clinton,1,176,17,25,6
Cohasset,0,77,5,5,0
Colrain,1,11,0,--,0
Concord,1163,107,--,--,0
Conway,2,10,--,--,0
Cummington,1,5,0,--,0
Dalton,0,41,--,0,--
Danvers,1,276,15,21,--
Dartmouth,0,204,11,13,--
Dedham,2,304,29,29,--
Deerfield,1,45,--,--,--
Dennis,0,78,7,--,5
Dighton,1,60,--,--,0
Douglas,0,71,--,--,5
Dover,0,28,--,--,0
Dracut,0,348,23,25,9
Dudley,0,87,7,8,6
Dunstable,0,20,--,--,0
Duxbury,1,112,5,--,0
East Bridgewater,0,127,6,8,--
East Brookfield,1,23,--,--,0
East Longmeadow,0,117,9,16,--
Eastham,0,25,--,--,0
Easthampton,2,124,7,9,--
Easton,3,169,7,10,0
Edgartown,0,37,--,--,0
Egremont,0,9,--,--,0
Erving,0,6,--,--,--
Essex,0,27,--,--,0
Everett,0,624,50,61,23
Fairhaven,1,118,9,14,--
Fall River,1575,1153,96,96,81
Falmouth,420,200,19,19,--
Fitchburg,5,486,44,45,44
Florida,0,10,--,--,0
Foxborough,0,160,14,18,--
Framingham,897,888,64,74,27
Franklin,1,239,12,16,--
Freetown,0,75,--,--,--
Gardner,466,229,15,17,11
Aquinnah,0,5,0,0,0
Georgetown,1,73,5,7,0
Gill,0,12,0,--,--
Gloucester,2,228,18,20,6
Goshen,0,3,0,0,0
Gosnold,0,0,0,0,0
Grafton,0,217,19,19,--
Granby,2,49,--,--,0
Granville,1,9,--,--,0
Great Barrington,135,39,--,--,--
Greenfield,490,160,8,9,--
Groton,0,74,5,9,0
Groveland,0,43,6,--,0
Hadley,0,24,--,--,--
Halifax,0,67,--,6,--
Hamilton,1,82,5,--,0
Hampden,0,24,--,--,0
Hancock,0,6,0,0,0
Hanover,0,130,12,11,--
Hanson,0,98,5,9,--
Hardwick,1,25,--,--,0
Harvard,0,30,--,--,0
Harwich,0,85,5,7,--
Hatfield,2,22,0,0,--
Haverhill,6,774,50,60,36
Hawley,0,2,0,0,0
