Cnty,CouSub,,Area Name,(Mi2),1930,1940,1950,1960,1970,1980,1990,2000,2010,2010 (Pop/Mi2),Share in 2010,2010 Revised Total,Change from Original,2010,2011,2012,2013,2014,2015,2016,2017,2018,
,,25,Massachusetts,"7,840.0"," 	4,248,326 "," 	4,316,721 "," 	4,690,514 "," 	5,148,578 "," 	5,689,377 "," 	5,737,037 "," 	6,016,425 "," 	6,349,113 "," 	6,547,629 ",835.2,,"6,547,790",161,"6,566,431","6,613,149","6,663,158","6,713,944","6,763,652","6,795,891","6,826,022","6,863,246","6,902,149",
001,03690,2500103690,Barnstable town city,60.0," 	7,271 "," 	8,333 "," 	10,480 "," 	13,465 "," 	19,842 "," 	30,898 "," 	40,949 ","47,821"," 	45,193 ",752.8,0.7%,"45,187",-6,"45,146","44,852","44,738","44,581","44,469"," 	44,267 "," 	44,155 "," 	44,165 "," 	44,460 ",
001,07175,2500107175,Bourne town,40.9," 	2,895 "," 	3,315 "," 	4,720 "," 	14,011 "," 	12,636 "," 	13,874 "," 	16,064 ","18,721"," 	19,754 ",482.8,0.3%,"19,741",-13,"19,756","19,790","19,753","19,735","19,740"," 	19,854 "," 	19,883 "," 	19,872 "," 	19,872 ",
001,07980,2500107980,Brewster town,23.0, 	769 , 	827 , 	987 ," 	1,236 "," 	1,790 "," 	5,226 "," 	8,440 ","10,098"," 	9,820 ",427.2,0.1%,"9,826",,"9,859","9,839","9,819","9,798","9,938"," 	9,880 "," 	9,841 "," 	9,846 "," 	9,806 ",
001,12995,2500112995,Chatham town,16.2," 	1,931 "," 	2,136 "," 	2,457 "," 	3,273 "," 	4,554 "," 	6,071 "," 	6,579 ","6,627"," 	6,125 ",377.6,0.1%,"6,125",,"6,127","6,118","6,125","6,135","6,140"," 	6,137 "," 	6,148 "," 	6,167 "," 	6,160 ",
001,16775,2500116775,Dennis town,20.6," 	1,829 "," 	2,015 "," 	2,499 "," 	3,727 "," 	6,454 "," 	12,360 "," 	13,864 ","15,973"," 	14,207 ",689.8,0.2%,"14,221",14,"14,218","14,165","14,109","14,069","14,037"," 	13,997 "," 	13,964 "," 	13,922 "," 	13,885 ",
001,19295,2500119295,Eastham town,14.0, 	543 , 	582 , 	860 ," 	1,200 "," 	2,043 "," 	3,472 "," 	4,462 ","5,453"," 	4,956 ",354.2,0.1%,"4,956",,"4,956","4,941","4,927","4,923","4,919"," 	4,904 "," 	4,891 "," 	4,883 "," 	4,871 ",
001,23105,2500123105,Falmouth town,44.2," 	4,821 "," 	6,878 "," 	8,662 "," 	13,037 "," 	15,942 "," 	23,640 "," 	27,960 ","32,660"," 	31,531 ",712.7,0.5%,"31,534",3,"31,539","31,560","31,493","31,458","31,350"," 	31,258 "," 	31,135 "," 	31,112 "," 	31,019 ",
001,29020,2500129020,Harwich town,21.0," 	2,329 "," 	2,535 "," 	2,649 "," 	3,747 "," 	5,892 "," 	8,971 "," 	10,275 ","12,384"," 	12,243 ",581.8,0.2%,"12,223",-2,"12,232","12,210","12,175","12,166","12,167"," 	12,138 "," 	12,121 "," 	12,144 "," 	12,133 ",
001,39100,2500139100,Mashpee town,23.5, 	361 , 	434 , 	438 , 	867 ," 	1,288 "," 	3,700 "," 	7,884 ","12,946"," 	14,006 ",596.5,0.2%,"14,006",,"14,001","13,966","13,923","13,940","13,981"," 	14,047 "," 	14,104 "," 	14,193 "," 	14,180 ",
001,51440,2500151440,Orleans town,14.2," 	1,181 "," 	1,451 "," 	1,759 "," 	2,342 "," 	3,055 "," 	5,306 "," 	5,838 ","6,341"," 	5,890 ",415.5,0.1%,"5,890",,"5,894","5,877","5,861","5,850","5,849"," 	5,824 "," 	5,820 "," 	5,821 "," 	5,798 ",
001,55500,2500155500,Provincetown town,9.7," 	3,808 "," 	3,668 "," 	3,795 "," 	3,389 "," 	2,911 "," 	3,536 "," 	3,561 ","3,431"," 	2,942 ",304.5,0.0%,"2,942",,"2,947","2,938","2,941","2,942","2,944"," 	2,957 "," 	2,962 "," 	2,977 "," 	2,960 ",
001,59735,2500159735,Sandwich town,43.0," 	1,437 "," 	1,360 "," 	2,418 "," 	2,082 "," 	5,239 "," 	8,727 "," 	15,489 ","20,136"," 	20,675 ",480.4,0.3%,"20,676",1,"20,668","20,615","20,565","20,545","20,482"," 	20,383 "," 	20,317 "," 	20,305 "," 	20,226 ",
